City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Yarmouth,US,2020-04-04 22:18:36,41.71,-70.23,46.0,65,90,10.29
70,Verkhnetulomskiy,RU,2020-04-04 22:19:06,68.61,31.8,21.2,57,1,8.95
71,San Jose,US,2020-04-04 22:21:51,37.34,-121.89,60.01,71,90,9.17
72,Cidreira,BR,2020-04-04 22:22:34,-30.18,-50.21,69.31,67,3,10.04
73,Dubbo,AU,2020-04-04 22:22:34,-32.25,148.62,53.6,100,0,4.7
74,Paamiut,GL,2020-04-04 22:22:34,61.99,-49.67,26.96,95,100,6.26
75,Broome,US,2020-04-04 22:22:34,42.25,-75.83,54.0,66,90,3.36
76,Jardim,BR,2020-04-04 22:22:35,-21.48,-56.14,81.99,44,0,1.45
77,Upernavik,GL,2020-04-04 22:22:35,72.79,-56.15,14.05,80,7,9.48
78,Bela,IN,2020-04-04 22:22:35,25.93,81.98,74.82,19,0,6.62
79,Carnarvon,AU,2020-04-04 22:22:35,-24.87,113.63,73.4,83,100,12.75
80,Castro,BR,2020-04-04 22:21:39,-24.79,-50.01,63.68,47,0,0.81
81,Santa,PH,2020-04-04 22:22:35,17.49,120.43,76.15,76,4,3.8
82,Adrar,MR,2020-04-04 22:22:35,20.5,-10.07,79.72,13,0,6.08
83,Hovd,MN,2020-04-04 22:19:10,48.01,91.64,34.48,39,0,4.16
84,Rio Gallegos,AR,2020-04-04 22:22:36,-51.62,-69.22,48.2,57,93,23.04
85,Abu Dhabi,AE,2020-04-04 22:22:36,24.47,54.37,82.4,39,91,6.91
86,New Norfolk,AU,2020-04-04 22:22:36,-42.78,147.06,45.0,65,75,8.05
87,Pevek,RU,2020-04-04 22:22:36,69.7,170.31,-3.55,91,100,10.27
88,Bluff,NZ,2020-04-04 22:22:36,-46.6,168.33,53.65,71,83,10.67
89,Pangnirtung,CA,2020-04-04 22:22:36,66.15,-65.71,16.47,83,0,3.11
90,Barrow,US,2020-04-04 22:22:36,71.29,-156.79,17.6,78,90,10.29
91,Maarianhamina,AX,2020-04-04 22:22:36,60.1,19.93,24.8,79,18,6.78
92,Bilibino,RU,2020-04-04 22:22:36,68.05,166.44,-9.22,83,99,1.63
93,Dicabisagan,PH,2020-04-04 22:22:37,17.08,122.42,75.92,76,31,0.94
94,Nago,JP,2020-04-04 22:22:37,26.59,127.98,66.2,77,75,9.17
95,Havre-Saint-Pierre,CA,2020-04-04 22:22:37,50.23,-63.6,30.2,86,90,5.82
96,Khowai,IN,2020-04-04 22:22:37,24.1,91.63,71.44,48,0,3.27
97,Pierre,US,2020-04-04 22:19:20,44.37,-100.35,55.4,28,90,20.8
98,Lagoa,PT,2020-04-04 22:22:37,39.05,-27.98,59.04,74,30,15.14
99,Kapaa,US,2020-04-04 22:22:38,22.08,-159.32,81.0,78,20,13.87
100,Vestmannaeyjar,IS,2020-04-04 22:22:38,63.44,-20.27,28.09,92,100,22.3
101,Gizo,SB,2020-04-04 22:22:38,-8.1,156.84,82.2,75,95,12.57
102,Sharan,RU,2020-04-04 22:22:38,54.82,54.0,35.92,77,4,7.25
103,Cockburn Town,TC,2020-04-04 22:22:38,21.46,-71.14,75.38,59,0,9.42
104,Ilhabela,BR,2020-04-04 22:22:38,-23.78,-45.36,73.17,73,34,8.19
105,Georgetown,MY,2020-04-04 22:22:38,5.41,100.34,80.6,83,20,3.36
106,Calama,CL,2020-04-04 22:21:28,-22.47,-68.93,75.2,31,96,24.16
107,Faanui,PF,2020-04-04 22:22:38,-16.48,-151.75,83.16,73,2,10.27
108,Egvekinot,RU,2020-04-04 22:22:38,66.32,-179.17,-0.33,88,100,18.3
109,Ancud,CL,2020-04-04 22:22:39,-41.87,-73.82,53.6,66,35,6.93
110,Norman Wells,CA,2020-04-04 22:22:39,65.28,-126.83,15.8,66,90,10.29
111,Zambezi,ZM,2020-04-04 22:22:39,-13.54,23.1,66.13,67,99,3.29
112,Clyde River,CA,2020-04-04 22:22:39,70.47,-68.59,8.6,78,40,23.04
113,Yellowknife,CA,2020-04-04 22:22:39,62.46,-114.35,14.0,47,20,4.7
114,Hithadhoo,MV,2020-04-04 22:17:47,-0.6,73.08,83.1,75,100,8.34
115,Vila Franca Do Campo,PT,2020-04-04 22:22:39,37.72,-25.43,60.8,77,40,21.92
116,Malartic,CA,2020-04-04 22:22:39,48.13,-78.13,53.6,54,75,6.93
117,Clonakilty,IE,2020-04-04 22:22:39,51.62,-8.87,48.99,87,75,20.8
118,Nanortalik,GL,2020-04-04 22:22:39,60.14,-45.24,30.38,89,100,11.83
119,San Patricio,MX,2020-04-04 22:22:39,19.22,-104.7,78.8,78,5,17.22
120,Ardud,RO,2020-04-04 22:22:40,47.63,22.88,41.0,60,0,4.7
121,Weligama,LK,2020-04-04 22:22:40,5.97,80.42,77.31,89,98,4.63
122,George Town,MY,2020-04-04 22:22:38,5.41,100.34,80.6,83,20,3.36
123,Gewane,ET,2020-04-04 22:22:40,10.17,40.65,84.25,42,11,6.2
124,Three Hills,CA,2020-04-04 22:22:40,51.7,-113.27,17.6,67,5,5.82
125,Naryan-Mar,RU,2020-04-04 22:22:40,67.67,53.09,17.58,96,35,9.33
126,Nizhniy Chir,RU,2020-04-04 22:22:40,48.36,43.09,47.71,57,94,9.22
127,Vostok,RU,2020-04-04 22:22:40,46.49,135.88,23.31,92,100,4.63
128,Port Blair,IN,2020-04-04 22:19:17,11.67,92.75,82.26,68,0,7.45
129,Dinganen,PH,2020-04-04 22:22:40,7.33,124.38,72.59,61,0,4.05
130,Ayna,PE,2020-04-04 22:22:40,-12.65,-73.92,71.74,36,42,4.12
131,Tianpeng,CN,2020-04-04 22:22:41,30.99,103.94,53.6,93,40,3.0
132,Langreo,ES,2020-04-04 22:22:41,43.3,-5.68,59.0,54,100,1.12
133,Bethel,US,2020-04-04 22:22:41,41.37,-73.41,60.01,54,90,6.93
134,Atuona,PF,2020-04-04 22:22:41,-9.8,-139.03,82.24,75,51,15.61
135,Bambous Virieux,MU,2020-04-04 22:22:41,-20.34,57.76,78.8,78,75,8.05
136,Shimoda,JP,2020-04-04 22:22:42,34.67,138.95,55.99,88,31,1.99
137,Alihe,CN,2020-04-04 22:22:42,50.57,123.72,25.07,75,0,2.33
138,Port Lincoln,AU,2020-04-04 22:22:42,-34.73,135.87,60.13,70,67,17.98
139,Rodrigues Alves,BR,2020-04-04 22:22:42,-7.74,-72.65,87.8,66,40,6.93
140,Ponta Do Sol,PT,2020-04-04 22:22:42,32.67,-17.1,66.2,88,75,13.87
141,Yulara,AU,2020-04-04 22:22:42,-25.24,130.99,59.0,44,43,10.29
142,Ixtapa,MX,2020-04-04 22:22:42,20.7,-105.2,80.01,74,75,13.87
143,Xinzhou,CN,2020-04-04 22:22:42,38.41,112.73,46.65,38,100,1.57
144,Margherita,IN,2020-04-04 22:22:42,27.28,95.68,67.19,50,3,2.53
145,Locri,IT,2020-04-04 22:22:42,38.24,16.26,57.99,71,40,9.17
146,Rafaela,AR,2020-04-04 22:22:42,-31.25,-61.49,73.0,51,19,7.25
147,Kavieng,PG,2020-04-04 22:22:42,-2.57,150.8,80.58,79,70,6.8
148,Brae,GB,2020-04-04 22:22:42,60.4,-1.35,46.4,93,100,12.75
149,Boa Vista,BR,2020-04-04 22:22:42,2.82,-60.67,91.4,43,75,11.41
150,Buraydah,SA,2020-04-04 22:22:42,26.33,43.98,73.4,35,0,8.05
151,Asfi,MA,2020-04-04 22:21:12,32.3,-9.24,63.28,80,70,6.53
152,Bereda,ES,2020-04-04 22:22:43,43.27,-7.54,61.0,62,100,3.36
153,Nyurba,RU,2020-04-04 22:22:43,63.28,118.33,14.4,90,100,12.33
154,Cape Town,ZA,2020-04-04 22:22:41,-33.93,18.42,60.01,100,23,4.7
155,Phanat Nikhom,TH,2020-04-04 22:22:43,13.45,101.18,87.01,83,20,6.93
156,Hirna,ET,2020-04-04 22:22:43,9.22,41.1,64.35,44,33,0.96
157,Taitung,TW,2020-04-04 22:22:43,22.76,121.14,66.2,72,75,8.05
158,Jiexiu,CN,2020-04-04 22:22:43,37.02,111.91,49.93,34,100,2.19
159,Namibe,AO,2020-04-04 22:22:43,-15.2,12.15,74.88,67,0,4.41
160,Hailun,CN,2020-04-04 22:22:43,47.45,126.93,25.65,86,0,6.04
161,Loukhi,RU,2020-04-04 22:22:43,66.08,33.04,18.5,93,79,3.85
162,Hofn,IS,2020-04-04 22:22:43,64.25,-15.21,24.93,94,100,39.39
163,Samarai,PG,2020-04-04 22:22:43,-10.62,150.67,78.55,79,29,10.36
164,Yokadouma,CM,2020-04-04 22:22:43,3.52,15.05,72.37,75,22,1.83
165,Antalaha,MG,2020-04-04 22:22:43,-14.9,50.28,76.55,76,4,11.95
166,Varadero,CU,2020-04-04 22:22:44,23.15,-81.25,84.2,51,20,11.41
167,Alfonsine,IT,2020-04-04 22:22:44,44.51,12.06,55.0,61,0,1.12
168,Guarapari,BR,2020-04-04 22:22:44,-20.67,-40.5,77.0,73,90,6.93
169,Davila,PH,2020-04-04 22:22:44,18.47,120.58,75.2,88,75,2.24
170,Laguna,US,2020-04-04 22:19:23,38.42,-121.42,59.0,82,90,8.05
171,Castelo Branco,PT,2020-04-04 22:19:50,39.82,-7.49,59.0,72,94,4.56
172,Caluquembe,AO,2020-04-04 22:22:44,-13.78,14.68,60.24,60,95,2.53
173,Provideniya,RU,2020-04-04 22:22:44,64.38,-173.3,13.89,94,100,19.44
174,Chuy,UY,2020-04-04 22:22:44,-33.7,-53.46,68.11,65,0,3.0
175,Qaqortoq,GL,2020-04-04 22:22:44,60.72,-46.03,28.4,36,100,39.15
176,Sibolga,ID,2020-04-04 22:22:44,1.74,98.78,76.98,84,100,3.02
177,Ternova,UA,2020-04-04 22:22:44,50.18,36.68,37.4,40,2,4.47
178,East London,ZA,2020-04-04 22:22:44,-33.02,27.91,76.17,50,0,8.5
179,Meridian,US,2020-04-04 22:21:12,43.61,-116.39,60.01,24,1,12.75
180,Srednekolymsk,RU,2020-04-04 22:22:44,67.45,153.68,-2.83,89,0,3.62
181,Lavrentiya,RU,2020-04-04 22:22:44,65.58,-171.0,13.24,95,100,11.48
182,Qasigiannguit,GL,2020-04-04 22:22:45,68.82,-51.19,14.0,43,0,23.04
183,Vangaindrano,MG,2020-04-04 22:22:45,-23.35,47.6,70.47,86,99,4.74
184,Ust-Kuyga,RU,2020-04-04 22:22:45,70.02,135.6,13.12,94,100,8.46
185,Khani,GE,2020-04-04 22:22:45,41.96,42.96,48.2,87,75,10.29
186,Campbell River,CA,2020-04-04 22:19:42,50.02,-125.24,42.8,75,75,5.82
187,La Ronge,CA,2020-04-04 22:22:45,55.1,-105.28,21.2,37,5,4.7
188,Kaitangata,NZ,2020-04-04 22:22:45,-46.28,169.85,54.95,79,62,11.05
189,Saskylakh,RU,2020-04-04 22:22:45,71.92,114.08,0.0,91,5,10.02
190,Harper,LR,2020-04-04 22:22:45,4.38,-7.72,82.53,79,56,4.72
191,Souillac,MU,2020-04-04 22:22:45,-20.52,57.52,78.8,78,75,8.05
192,Boyolangu,ID,2020-04-04 22:22:45,-8.12,111.89,77.25,85,99,4.41
193,Meulaboh,ID,2020-04-04 22:22:45,4.14,96.13,78.94,81,100,6.85
194,Pravia,ES,2020-04-04 22:22:45,43.49,-6.15,59.0,54,100,1.12
195,Nikolskoye,RU,2020-04-04 22:22:46,59.7,30.79,34.0,64,75,8.95
196,Ilulissat,GL,2020-04-04 22:18:54,69.22,-51.1,14.0,43,0,23.04
197,Geneva,US,2020-04-04 22:21:40,41.89,-88.31,53.01,61,40,7.72
198,Avera,US,2020-04-04 22:22:46,33.19,-82.53,78.8,27,1,8.05
199,San Isidro,PE,2020-04-04 22:22:46,-12.12,-77.05,75.2,73,0,14.99
200,Formosa,AR,2020-04-04 22:22:46,-26.18,-58.18,73.4,69,50,5.82
201,Ende,ID,2020-04-04 22:22:46,-8.84,121.66,81.55,76,0,1.54
202,Caravelas,BR,2020-04-04 22:22:46,-17.71,-39.25,79.14,83,100,16.13
203,Leshukonskoye,RU,2020-04-04 22:22:46,64.9,45.76,26.02,97,100,6.35
204,Banda Aceh,ID,2020-04-04 22:22:46,5.56,95.32,79.41,79,56,7.63
205,Vardo,NO,2020-04-04 22:22:46,70.37,31.11,29.53,95,100,28.14
206,Siocon,PH,2020-04-04 22:22:46,7.71,122.14,80.04,75,1,9.06
207,Trabzon,TR,2020-04-04 22:22:46,40.92,39.83,50.0,81,40,2.24
208,Ngunguru,NZ,2020-04-04 22:22:47,-35.62,174.5,68.0,59,13,8.99
209,Katsuura,JP,2020-04-04 22:22:47,35.13,140.3,57.99,81,75,14.99
210,Wajir,KE,2020-04-04 22:22:47,1.75,40.06,84.94,50,35,9.13
211,Luderitz,NA,2020-04-04 22:22:47,-26.65,15.16,59.0,93,74,6.93
